,0
0,399293
1,313782
2,4750
3,438214
4,357995
5,350152
6,287850
7,238910
8,4433
9,254046
10,278607
11,296303
12,363517
13,316243
14,404326
15,418146
16,154256
17,372598
18,3844
19,431852
20,341827
21,1241
22,2746
23,2499
24,396642
25,413098
26,3891
27,275267
28,339467
29,370912
30,284071
31,379234
32,3406
33,348490
34,299645
35,262289
36,322606
37,425780
38,176162
39,250398
40,375417
41,4742
42,223691
43,300793
44,442347
45,4513
46,375136
47,173716
48,4078
49,2731
50,4264
51,4626
52,445033
53,393040
54,235760
55,401223
56,373102
57,2039
58,265262
59,395632
60,411357
61,4512
62,172608
63,200987
64,363336
65,400168
66,1219
67,2866
68,3483
69,2711
70,317388
71,335997
72,149976
73,282590
74,313951
75,280338
76,3379
77,144503
78,4613
79,355128
80,320954
81,172199
82,312686
83,385356
84,407334
85,723
86,2705
87,2256
88,431402
89,1462
90,3489
91,1419
92,4203
93,301607
94,226620
95,2567
96,372502
97,401786
98,819
99,3649
100,3010
101,2469
102,3411
103,3982
104,443857
105,382593
106,4621
107,2104
108,241314
109,294826
110,4326
111,256216
112,218265
113,229701
114,419309
115,1650
116,355893
117,2946
118,403350
119,390001
120,444355
121,220568
122,297563
123,1590
124,3884
125,440786
126,354085
127,386384
128,360503
129,298091
130,404230
131,304395
132,4515
133,268102
134,310405
135,256653
136,148374
137,4316
138,745
139,369329
140,444384
141,444558
142,3793
143,1745
144,4278
145,4032
146,359591
147,389632
148,3928
149,444015
150,2503
151,277085
152,300933
153,348060
154,2458
155,3625
156,173283
157,423330
158,177373
159,360651
160,379062
161,330183
162,385358
163,1443
164,250042
165,307288
166,1890
167,360302
168,3037
169,335825
170,1463
171,402696
172,368512
173,387703
174,411452
175,347817
176,209018
177,183343
178,2973
179,1168
180,4435
181,344777
182,358306
183,244351
184,237091
185,251419
186,191250
187,314357
188,4161
189,200594
190,391218
191,297432
192,275268
193,300370
194,332215
195,329433
196,340799
197,3342
198,203896
199,307154
200,397876
201,294156
202,301256
203,199385
204,186159
205,278988
206,416000
207,341517
208,362464
209,409651
210,2308
211,422326
212,393776
213,1719
214,3026
215,249530
216,371741
217,154415
218,2440
219,4006
220,143467
221,333711
222,3933
223,339491
224,357993
225,2865
226,3730
227,416484
228,2249
229,389156
230,370167
231,4567
232,376816
233,367095
234,342474
235,341835
236,401402
237,179221
238,252920
239,394278
240,332168
241,446039
242,398609
243,2038
244,393700
245,1002
246,1089
247,1278
248,427780
249,427021
250,361310
251,197498
252,3814
253,1615
254,4553
255,296175
256,3760
257,366954
258,2016
259,413437
260,4229
261,3602
262,3978
263,3875
264,3746
265,3603
266,3876
267,3605
268,4192
